Code,Entity,Instances,airPollution.csv,co2PerCapita.csv,debtToGdp.csv,democracyIndex.csv,drugUse.csv,education.csv,fertility.csv,gdpPerCapita.csv,happiness.csv,lifeExpectancy.csv,literacy.csv,smoking.csv,territoryControl.csv,topOneIncome.csv,topTenIncome.csv,waterSanitationHygiene.csv,womensCivilRights.csv
KAZ,Kazakhstan,16,26.50215,13.937352,24.8,3.08,1.85,12.547174,3.012,26491.857,6.378,74.4021,,22.2,100,15.000001,40.95,3.22,0.607
KEN,Kenya,16,12.52415,0.37611777,68,5.05,0.17,8.62471,3.208,3403.9238,4.51,63.6459,,10.7,84,15.68,48.829998,29.04,0.611
KIR,Kiribati,12,7.61811,0.5386222,8.7,,4.72,9.128582,3.147,,,66.4731,97.95971,39.7,,16.03,48.41,37.37,
KWT,Kuwait,17,64.07714,26.24753,7.3,2.78,1.1,7.566007,1.525,71533.516,6.629,80.4047,96,19.9,98.6,17.1,44.06,0.79,0.516
KGZ,Kyrgyzstan,16,37.58464,1.6379259,37.8,3.52,0.77,12.065888,2.8,5304.841,5.858,71.677,,27.3,100,18.49,42.809998,2.31,0.695
LAO,Laos,17,21.15498,3.140345,90.7,1.71,0.11,6.060246,2.421,7168.1904,5.301,68.9637,85,27.2,95.75,20.33,48.719997,20.52,0.242
LVA,Latvia,16,12.02183,3.4520962,47.1,7.66,2,13.40944,1.338,27220.303,6.207,76.1898,,33.9,93,10.69,34.91,2.63,0.948
LBN,Lebanon,17,24.234,2.6955004,163.8,3.56,0.33,10.37,2.239,10341.159,3.188,77.817,93,34.3,68.143,21.17,55.11,2.39,0.512
LSO,Lesotho,17,17.59755,1.100255,57.1,6.06,0.78,7.7298837,2.694,2312.9583,3.757,57.3749,86.24087,24.3,91.875,14.33,49.11,108.06,0.703
LBR,Liberia,16,35.79581,0.15310843,55.7,5.57,0.02,6.169892,3.95,811.2146,4.277,62.1625,,8.2,92.75,12,42.59,34.62,0.759
LBY,Libya,14,29.83557,8.841596,,2.31,2.89,7.7786064,2.355,12755.204,5.82,69.3389,,,43.5,16.769999,46.59,2.15,0.273
LTU,Lithuania,16,10.36907,4.386505,41.8,7.59,3.4,13.610692,1.201,30863.32,6.829,76.025,,31.4,100,9.4800005,34.42,2.61,0.924
LUX,Luxembourg,16,8.89471,10.459649,27.1,8.88,2.57,12.589372,1.396,55484.777,7.122,82.2294,,23,100,13.66,36.43,1.88,0.955
MDG,Madagascar,17,16.02251,0.14166704,49.7,5.33,0.48,4.59252,3.972,1367.0938,4.157,63.6317,74.68614,26.8,82.4,15.0199995,50.260002,40.06,0.647
MWI,Malawi,17,18.56954,0.08688312,80.4,5.85,0.64,5.24374,3.648,1190.0509,3.26,67.3535,70.15227,9.7,75.333,15.0199995,47.81,30.81,0.752
MYS,Malaysia,17,21.52164,8.16206,70.4,7.11,0.19,11.09,1.55,26628.707,5.955,76.6571,96,22,98.5,14.599999,39.44,14.41,0.733
MDV,Maldives,15,13.00334,4.3694687,131.8,,0.25,7.4103727,1.575,,5.198,81.0412,98.21186,26.3,94.8,12.9800005,38.79,2.29,0.544
MLI,Mali,17,38.54882,0.2850997,48.9,2.4,0.02,1.63,5.614,1651.9413,4.345,60.4394,35,8,82,11.93,44.23,66.12,0.673
MLT,Malta,16,12.93003,3.2037206,46.9,7.93,1.39,12.420702,1.098,34496.34,6.316,83.2989,,24.7,100,8.87,31.43,4.59,0.914
MHL,Marshall Islands,10,7.21485,4.1115723,10.6,,0.14,11.636664,2.919,,,66.9454,,29.8,,16.03,48.41,,
MRT,Mauritania,17,41.98461,1.0134012,41.2,3.96,0.03,4.852026,4.697,3680.3662,4.542,68.4836,59.52966,9.5,87.857,9.8,39.29,37.79,0.344
MUS,Mauritius,17,10.48182,3.6766226,88.1,8.23,2.45,10.103328,1.241,20643.094,5.832,74.9263,93,20.9,83.6,15.73,46.77,5.47,0.708
MEX,Mexico,17,17.82781,3.5227275,58.9,5.32,0.49,9.349511,1.91,16235.455,6.979,75.069,95,14.9,87.4,21.58,59.63,3.54,0.623
FSM,Micronesia (country),10,7.78563,1.3309593,9.3,,0.15,7.332524,2.748,,,67.1983,,,,16.03,48.41,14.04,
MDA,Moldova,17,12.36523,1.7551568,37.8,6.04,0.62,11.83,1.731,6674.871,5.819,71.1985,99,29.7,88,10.679999,34.14,3.57,0.875
MCO,Monaco,6,9.21092,,,,0.19,,2.11,,,86.3724,,,,11.5,35.670002,,
MNG,Mongolia,17,41.30377,12.859549,46.6,6.53,0.74,9.42,2.685,13442.906,5.833,71.7341,98.72622,29.5,98,16.060001,42.399998,3.16,0.726
MNE,Montenegro,17,19.29617,3.7217364,60.8,6.73,0.17,12.773926,1.803,20941.805,5.877,77.0869,98.5344,32,98.333,9.929999,35.94,1.83,0.819
MAR,Morocco,17,13.44048,1.813556,67.2,4.97,1.27,6.198,2.23,8400.127,4.622,75.3128,76,13,90.8,13.2300005,47.600002,4.55,0.651
MOZ,Mozambique,16,16.44818,0.24869162,97.2,3.38,0.4,4.59049,4.763,1087.836,5.19,63.6111,60,,88.125,24.65,59.45,45.56,0.479
MMR,Myanmar,17,27.16498,0.5798787,63.5,0.96,0.11,6.38,2.115,5177.4326,4.321,66.889,89,44.4,52.4,16.63,42.76,12.9,0.18
NAM,Namibia,16,11.81074,1.1448735,63.6,6.48,0.36,7.2731466,3.212,7979.328,4.911,67.3848,,14.1,94.8,21.529999,63.98,28.81,0.81
NRU,Nauru,11,7.40486,5.129512,15,,0.16,9.448638,3.331,,,62.1094,96.58654,48.3,,16.03,48.41,,
NPL,Nepal,17,36.43171,0.6332349,49.3,4.6,0.33,4.50373,1.984,3013.5178,5.311,70.3537,68.7125,28.3,95.75,14.01,40.96,17.8,0.576
NLD,Netherlands,16,10.7416,6.29691,44,9,1.95,12.669947,1.43,49669.867,7.306,82.1576,,21.3,99,6.69,28.54,3.37,0.88
NZL,New Zealand,16,8.60929,6.229343,53.2,9.61,1.55,12.882998,1.667,38250.12,6.952,82.088,,12.2,99.833,12.219999,34.88,2.12,0.933
NIC,Nicaragua,15,16.00181,0.8140884,39.3,2.09,0.04,9.93302,2.218,5092.8413,6.33,74.9468,,,82.625,17.87,51.81,3.5,0.211
NER,Niger,17,50.15037,0.11726506,42.2,2.26,0.02,1.4122894,6.061,1007.72095,4.725,61.1833,35.60971,7.7,83.357,13.860001,44.38,70.26,0.762
NGA,Nigeria,17,55.64206,0.5837386,36.4,4.16,0.03,7.58597,4.482,5070.4927,4.885,54.4623,63.15554,3.3,84.8,11.42,42.11,71.73,0.692
PRK,North Korea,13,41.46032,2.3604918,,1.08,0.55,,1.78,1568.847,,73.6418,,16.5,99.25,15.080001,42.879997,4.1,0.007
MKD,North Macedonia,15,25.16804,3.6311553,52.9,6.28,1.05,10.23,1.465,14050.995,5.503,77.3947,,,94.444,7,29.339998,1.04,0.735
NOR,Norway,16,6.30111,6.667616,42.7,9.81,5.62,13.117962,1.405,88366.22,7.262,83.3078,,14.2,99,9.660001,31.099998,3.61,0.888
OMN,Oman,17,34.88286,15.651107,35.1,3.05,0.27,11.89,2.525,47988.65,6.197,80.0305,97,8.4,88.833,19.75,55.92,1.6,0.448
PAK,Pakistan,17,50.13067,0.71556884,71.6,2.84,0.48,4.316987,3.605,5531.723,4.768,67.649,58.8561,18.9,86,17.51,43.89,38.8,0.467
PLW,Palau,11,7.82424,12.760258,63.1,,0,13.299035,1.907,,,69.269,97,17.3,,16.03,48.41,,
PSE,Palestine,12,30.8191,0.86981934,65.6,3.44,,10.13,3.311,4775.202,4.78,65.1703,98,,,17.99,50.75,,
PAN,Panama,17,11.77915,2.8046095,59.6,6.84,0.16,10.833751,2.119,23557.02,6.407,79.5937,96,5.2,94.333,17.87,51.81,4.24,0.869
PNG,Papua New Guinea,15,8.88558,0.7890545,50.4,5.97,0.07,4.962531,3.099,,,66.134,70.06368,39.6,80.75,16.220001,45.84,24.88,0.602
PRY,Paraguay,17,12.30993,1.1454097,41.7,5.92,0.19,8.930654,2.422,8762.771,6.172,73.8443,95,10.7,80,17.87,51.81,4.65,0.609
PER,Peru,17,29.06587,2.0529242,32.1,5.69,0.05,10.154652,1.98,12762.967,5.947,77.7401,94,7.1,83.333,26.9,57.95,7.59,0.622
PHL,Philippines,17,22.45141,1.5096035,58.2,6.63,0.16,9.97724,1.916,8370.666,6.107,69.8327,98,20.4,94,16.94,45.120003,16.87,0.704
POL,Poland,16,18.82808,7.0801096,60,7.4,0.65,13.208543,1.299,32468.402,6.673,78.6329,,23.6,99.833,15.469999,38.420002,5.4,0.868
PRT,Portugal,16,7.34244,3.4089074,90.9,8.08,0.64,9.703255,1.508,28992.059,6.013,82.3599,,25.6,97.5,9.74,35.06,6.76,0.757
QAT,Qatar,17,59.03746,41.27118,40.6,3.17,0.26,10.77,1.729,149171.11,6.374,82.368,98,12.5,99.2,24.050001,56.29,0.42,0.181
ROU,Romania,17,13.30043,3.605104,61.2,5.99,0.21,11.55,1.713,26197.904,6.563,75.9381,99,30,97.714,14.57,41.16,7.2,0.789
