Code,Rank,True Rank,Entity,Instances,Accuracy,Value,airPollution.csv,co2PerCapita.csv,debtToGdp.csv,democracyIndex.csv,drugUse.csv,education.csv,fertility.csv,gdpPerCapita.csv,happiness.csv,lifeExpectancy.csv,literacy.csv,smoking.csv,territoryControl.csv,topOneIncome.csv,topTenIncome.csv,waterSanitationHygiene.csv,womensCivilRights.csv,corruption.csv,freedom.csv,undernourishment.csv
CZE,15,18,Czechia,19,95.0,81.65326594618583,14.34125,7.043965,44,8.08,0.89,12.963182,1.448,32247.395,6.775,79.8341,,29.9,99.929,9.610001,27.61,4.07,0.941,0.098,95,2.5
COD,163,194,Democratic Republic of Congo,20,100.0,34.39059565726836,31.57858,0.05403233,19.1,1.92,0.27,7.378561,6.051,844.172,3.469,61.895,73.55303,12.2,81.2,19.230001,53.44,52.28,0.362,0.916,18,37
DNK,5,5,Denmark,20,100.0,86.39822718483767,9.65653,4.746057,29.6,9.28,4.08,13.027321,1.511,50689.68,7.521,81.9328,100,16.2,98.929,12.44,33.1,4.14,0.973,0.003,97,2.5
DJI,144,174,Djibouti,18,90.0,41.552332048759354,19.98484,0.48264864,30.5,2.7,1.13,3.9504151,2.609,3623.0603,4.369,65.9865,,,84.833,15.73,49.14,37.57,0.438,0.675,24,12.9
DMA,66,90,Dominica,12,60.0,65.62320374872647,8.22238,2.5799234,95.7,,0.54,10.12509,1.484,8879.6455,,71.1325,,,,21.199999,48.57,,,,92,13.4
DOM,50,69,Dominican Republic,20,100.0,69.55324352767738,7.58534,2.8992038,60,6.62,0.06,9.444526,2.243,17713.52,5.846,73.7201,94,10.5,98.333,15.18,45.71,5.78,0.71,0.709,68,4.6
TLS,98,125,East Timor,18,90.0,57.436829607178886,20.47387,0.47700548,13.9,7.03,0.09,6.2265806,2.707,,,67.6894,65.77913,38.7,95.667,15.03,40.34,20.43,0.655,0.215,72,15.9
ECU,73,98,Ecuador,20,100.0,63.26955872647267,16.54855,2.535337,53.8,5.24,0.37,8.97,1.823,10124.076,5.965,77.3924,94,10.2,91.25,14,45.21,4.69,0.687,0.651,65,13.9
EGY,116,145,Egypt,20,100.0,50.775991300109936,63.15743,2.2170217,87,2.79,0.07,10.13612,2.75,13205.406,3.817,71.6335,71,24.7,93.667,18.5,47.84,4.81,0.535,0.729,18,8.5
SLV,82,109,El Salvador,20,100.0,60.63531043948005,22.15224,1.4155904,87.6,4.61,0.43,7.3,1.775,9218.905,6.492,72.0993,90,8.9,95.2,12.77,42.329998,6.13,0.317,0.681,47,6.8
GNQ,136,166,Equatorial Guinea,17,85.0,43.42361105996473,25.66867,3.704236,36.6,1.92,0.33,8.281327,4.081,22707.22,,63.7071,96,,96.2,18.87,52.469997,29.73,0.281,0.838,5,
ERI,154,185,Eritrea,15,75.0,37.55260354722523,22.74486,0.21004777,,1.97,0.9,5.0913644,3.713,,,68.6239,77,,97,13.63,44.86,66.53,0.027,0.741,3,
EST,12,15,Estonia,20,100.0,82.61454138174122,6.35007,6.105464,24.4,8.13,4.53,13.562166,1.35,30067.395,6.417,79.1535,100,28.3,100,12.52,35.06,2.59,0.952,0.026,96,2.5
SWZ,128,157,Eswatini,20,100.0,46.891124775258795,15.07308,0.8405372,42.8,2.6,0.72,8.6852,2.753,8522.45,3.774,64.1227,90.74702,9.5,95,19.220001,59.530003,46.45,0.204,0.569,17,12.4
ETH,162,193,Ethiopia,20,100.0,35.734115479836184,21.80471,0.13506985,46.7,3.24,0.18,2.4025397,3.989,2289.409,3.898,67.315,51,5.2,65.167,13.63,44.86,40.68,0.423,0.55,18,22.2
FJI,63,85,Fiji,18,90.0,66.14757993687302,7.36073,1.5561111,76.6,5.39,0.07,10.37097,2.281,,,67.3157,99,27.6,94,16.03,48.41,10.8,0.739,0.285,69,7.8
FIN,9,10,Finland,20,100.0,84.58186774400998,5.46669,5.300579,86.8,9.3,5.64,12.979626,1.28,40701.465,7.736,81.9102,100,22.3,100,11.2300005,33.82,0.79,0.913,0.024,100,2.5
FRA,21,24,France,20,100.0,79.46604105823856,10.45709,3.969368,116.5,7.99,2.43,11.765668,1.639,39065.71,6.593,83.3253,100,34.6,98,12.13,34.31,3.37,0.895,0.053,89,2.5
GAB,120,149,Gabon,19,95.0,49.54941862781571,26.28642,2.126386,76.2,2.18,0.34,9.686,3.647,15720.901,5.12,68.3367,88.85834,,80.833,10.89,42.829998,17.49,0.796,0.72,21,20.1
