Entity,Code,Year,Women's civil rights index (central estimate),World region according to OWID,time,time
Turkey,TUR,2024,0.587,Asia,2023,2024
Turkmenistan,TKM,2024,0.116,Asia,2023,2024
Uganda,UGA,2024,0.509,Africa,2023,2024
Ukraine,UKR,2024,0.775,Europe,2023,2024
United Arab Emirates,ARE,2024,0.317,Asia,2023,2024
United Kingdom,GBR,2024,0.851,Europe,2023,2024
United States,USA,2024,0.891,North America,2023,2024
Uruguay,URY,2024,0.887,South America,2023,2024
Uzbekistan,UZB,2024,0.435,Asia,2023,2024
Vanuatu,VUT,2024,0.772,Oceania,2023,2024
Venezuela,VEN,2024,0.538,South America,2023,2024
Vietnam,VNM,2024,0.658,Asia,2023,2024
Yemen,YEM,2024,0.232,Asia,2023,2024
Zambia,ZMB,2024,0.768,Africa,2023,2024
Zimbabwe,ZWE,2024,0.64,Africa,2023,2024
