Entity,Code,Year,Top 1% - Share (Pretax) (Estimated),time
Puerto Rico,PRI,2023,21.199999,2023
Qatar,QAT,2023,24.050001,2023
Romania,ROU,2023,14.57,2023
Russia,RUS,2023,24.33,2023
Rwanda,RWA,2023,19.68,2023
Saint Kitts and Nevis,KNA,2023,21.199999,2023
Saint Lucia,LCA,2023,21.199999,2023
Saint Vincent and the Grenadines,VCT,2023,21.199999,2023
Samoa,WSM,2023,16.03,2023
San Marino,SMR,2023,11.5,2023
Sao Tome and Principe,STP,2023,15.780001,2023
Saudi Arabia,SAU,2023,24.89,2023
Senegal,SEN,2023,12.85,2023
Serbia,SRB,2023,13.04,2023
Seychelles,SYC,2023,21.539999,2023
Sierra Leone,SLE,2023,14.78,2023
Singapore,SGP,2023,13.62,2023
Slovakia,SVK,2023,9.95,2023
Slovenia,SVN,2023,7.8599997,2023
Solomon Islands,SLB,2023,16.03,2023
Somalia,SOM,2023,16.04,2023
South Africa,ZAF,2023,19.220001,2023
South Korea,KOR,2023,16.150002,2023
South Sudan,SSD,2023,15.24,2023
Spain,ESP,2023,12.04,2023
Sri Lanka,LKA,2023,21.39,2023
Sudan,SDN,2023,15.11,2023
Suriname,SUR,2023,17.87,2023
Sweden,SWE,2023,10.83,2023
Switzerland,CHE,2023,10.08,2023
Syria,SYR,2023,21.3,2023
Taiwan,TWN,2023,21.279999,2023
Tajikistan,TJK,2023,14.55,2023
Tanzania,TZA,2023,17.9,2023
Thailand,THA,2023,19.74,2023
Togo,TGO,2023,13.879999,2023
Tonga,TON,2023,16.03,2023
Trinidad and Tobago,TTO,2023,17.87,2023
Tunisia,TUN,2023,22.470001,2023
Turkey,TUR,2023,23.95,2023
Turkmenistan,TKM,2023,19.71,2023
Tuvalu,TUV,2023,16.03,2023
Uganda,UGA,2023,21.43,2023
Ukraine,UKR,2023,9.38,2023
United Arab Emirates,ARE,2023,15.940001,2023
United Kingdom,GBR,2023,13.59,2023
United States,USA,2023,20.730001,2023
Uruguay,URY,2023,14.78,2023
Uzbekistan,UZB,2023,17.53,2023
Vanuatu,VUT,2023,16.03,2023
Venezuela,VEN,2023,17.87,2023
Vietnam,VNM,2023,15.65,2023
Yemen,YEM,2023,24.81,2023
Zambia,ZMB,2023,17.880001,2023
Zimbabwe,ZWE,2023,17.29,2023
